work_id,author_id,author_name,institutions,author_position,is_corresponding
W4386293006,A5003423515,Qiuna Zhuang,Hong Kong Polytechnic University,middle,False
W4386293006,A5040506020,Kuanming Yao,City University of Hong Kong; University of Hong Kong,middle,False
W4386293006,A5100402557,Jian Li,Department of Health; City University of Hong Kong; Hong Kong Science and Technology Parks Corporation; University of Hong Kong,middle,False
W4386293006,A5100628452,Guangyao Zhao,City University of Hong Kong; University of Hong Kong,middle,False
W4386293006,A5043691498,Jingkun Zhou,Department of Health; City University of Hong Kong; Hong Kong Science and Technology Parks Corporation; University of Hong Kong,middle,False
W4386293006,A5101610501,Dengfeng Li,Department of Health; City University of Hong Kong; Hong Kong Science and Technology Parks Corporation; University of Hong Kong,middle,False
W4386293006,A5052921374,Rui Shi,City University of Hong Kong; University of Hong Kong,middle,False
W4386293006,A5102692579,Guoqiang Xu,City University of Hong Kong; University of Hong Kong,middle,False
W4386293006,A5100404262,Yingchun Li,Harbin Institute of Technology,middle,False
W4386293006,A5082001058,Zijian Zheng,Hong Kong Polytechnic University,middle,True
W4386293006,A5100316588,Zhihui Yang,Affiliated Hospital of Southwest Medical University,middle,True
W4386293006,A5100417328,Junsheng Yu,University of Electronic Science and Technology of China,middle,True
W4386293006,A5005541300,Xinge Yu,Department of Health; City University of Hong Kong; Hong Kong Science and Technology Parks Corporation; University of Hong Kong,last,True
W3132779119,A5083961268,Fei Cao,Nanjing University of Science and Technology,first,False
W3132779119,A5003355568,Xiaobao Xu,Nanjing University of Science and Technology,middle,True
W3132779119,A5079887660,Dejian Yu,Nanjing University of Science and Technology,middle,False
W3132779119,A5089334983,Haibo Zeng,Nanjing University of Science and Technology,last,True
W3012341006,A5082378480,Mingzhi Dai,Chinese Academy of Sciences; Ningbo Institute of Industrial Technology,first,True
W3012341006,A5017090075,Zhendong Wu,Chinese Academy of Sciences; Ningbo Institute of Industrial Technology,middle,False
W3012341006,A5109480290,Shaocheng Qi,Chinese Academy of Sciences; Ningbo Institute of Industrial Technology,middle,False
W3012341006,A5109707731,Changhe Huo,Chinese Academy of Sciences; Ningbo Institute of Industrial Technology,middle,False
W3012341006,A5100381869,Qiang Zhang,Chinese Academy of Sciences; Ningbo Institute of Industrial Technology,middle,False
W3012341006,A5022480610,Xingye Zhang,Chinese Academy of Sciences; Ningbo Institute of Industrial Technology,middle,False
W3012341006,A5101920287,Thomas J. Webster,Northeastern University,middle,False
W3012341006,A5102737991,Hengbo Zhang,Chinese Academy of Sciences; Ningbo Institute of Industrial Technology,last,False
W4220972781,A5100710300,Haozhe Zhang,Nanyang Technological University,first,True
W4220972781,A5100407570,Zhe Wang,Nanyang Technological University,middle,False
W4220972781,A5039816162,Zhixun Wang,Nanyang Technological University,middle,False
W4220972781,A5100654849,Bing He,Nanyang Technological University,middle,False
W4220972781,A5086997753,Mengxiao Chen,Nanyang Technological University,middle,False
W4220972781,A5100657233,Miao Qi,Nanyang Technological University,middle,False
W4220972781,A5100766839,Yanting Liu,Nanyang Technological University,middle,False
W4220972781,A5112114249,Jiwu Xin,Nanyang Technological University,middle,False
W4220972781,A5031711745,Lei Wei,Nanyang Technological University,last,False
W3013382035,A5044683684,Nesma M. Rezk,Halmstad University,first,True
W3013382035,A5064989404,Madhura Purnaprajna,Amrita Vishwa Vidyapeetham,middle,False
W3013382035,A5020628204,Tomas Nordström,Umeå University,middle,False
W3013382035,A5007772917,Zain Ul-Abdin,Halmstad University,last,False
W3122751470,A5043612869,Bongjoong Kim,Purdue University West Lafayette,first,False
W3122751470,A5040514764,Arvin H. Soepriatna,Purdue University West Lafayette,middle,False
W3122751470,A5043979278,Woohyun Park,Purdue University West Lafayette,middle,False
W3122751470,A5011519113,Haesoo Moon,Purdue University West Lafayette,middle,False
W3122751470,A5060050779,Abigail Cox,Purdue University West Lafayette,middle,False
W3122751470,A5047846279,Jianchao Zhao,Los Alamos National Laboratory,middle,False
W3122751470,A5085865382,Nevin S. Gupta,Los Alamos National Laboratory,middle,False
W3122751470,A5013570464,Chi Hoon Park,Los Alamos National Laboratory; Gyeongnam National University of Science and Technology,middle,False
W3122751470,A5006038770,Kyunghun Kim,Purdue University West Lafayette,middle,False
W3122751470,A5005126783,Yale Jeon,Purdue University West Lafayette; Hanyang University,middle,False
W3122751470,A5046292649,Hanmin Jang,Purdue University West Lafayette; Hanyang University,middle,False
W3122751470,A5059437431,Dong Rip Kim,Hanyang University,middle,False
W3122751470,A5006537336,Hyowon Lee,Purdue University West Lafayette,middle,False
W3122751470,A5101416795,Kwan‐Soo Lee,Los Alamos National Laboratory,middle,False
W3122751470,A5035272806,Craig J. Goergen,Purdue University West Lafayette,middle,False
W3122751470,A5088885773,Chi Hwan Lee,Purdue University West Lafayette,last,True
W4290072650,A5076742349,Yuan Li,Tianjin University of Technology,first,True
W4290072650,A5109994102,Zhi Cheng Zhang,Tianjin University of Technology,middle,False
W4290072650,A5085145203,Jiaqiang Li,Peking University; Beijing National Laboratory for Molecular Sciences; King Abdullah University of Science and Technology,middle,False
W4290072650,A5100326719,Xu‐Dong Chen,Tianjin University of Technology,middle,False
W4290072650,A5029040775,Ya Kong,Peking University; Beijing National Laboratory for Molecular Sciences,middle,False
W4290072650,A5011557689,Fudong Wang,Tianjin University of Technology,middle,False
W4290072650,A5100730832,Guoxin Zhang,Tianjin University of Technology,middle,False
W4290072650,A5054438192,Tong‐Bu Lu,Tianjin University of Technology,middle,False
W4290072650,A5100406016,Jin Zhang,Peking University; Beijing National Laboratory for Molecular Sciences,last,False
W4387100047,A5019872023,Gianluca Milano,Istituto Nazionale di Ricerca Metrologica,first,False
W4387100047,A5081163054,Alessandro Cultrera,Istituto Nazionale di Ricerca Metrologica,middle,False
W4387100047,A5081288641,Luca Boarino,Istituto Nazionale di Ricerca Metrologica,middle,False
W4387100047,A5086308147,Luca Callegaro,Istituto Nazionale di Ricerca Metrologica,middle,False
W4387100047,A5026131298,Carlo Ricciardi,Politecnico di Torino,last,True
W4400234784,A5100721410,Runze Li,University of Shanghai for Science and Technology; Shanghai Zhangjiang Laboratory,first,False
W4400234784,A5050702420,Zengji Yue,University of Shanghai for Science and Technology,middle,True
W4400234784,A5022757003,Haitao Luan,University of Shanghai for Science and Technology,middle,False
W4400234784,A5007736508,Yibo Dong,University of Shanghai for Science and Technology,middle,True
W4400234784,A5100330048,Xi Chen,University of Shanghai for Science and Technology,middle,False
W4400234784,A5101419491,Min Gu,University of Shanghai for Science and Technology,last,True
W4324055443,A5005417371,Yunhui Min,Jeju National University,first,False
W4324055443,A5058565750,Godagama Gamaarachchige Dinesh Suminda,Jeju National University,middle,False
W4324055443,A5059260239,Yunji Heo,Jeju National University,middle,False
W4324055443,A5066415179,Mangeun Kim,Jeju National University,middle,False
W4324055443,A5032562359,Mrinmoy Ghosh,Jeju National University; Kalasalingam Academy of Research and Education,middle,True
W4324055443,A5085273502,Young‐Ok Son,Jeju National University,last,True
W3015092365,A5055810944,Mohammad Karbalaei Akbari,Ghent University; Ghent University Global Campus,first,True
W3015092365,A5029178842,Jie Hu,Taiyuan University of Technology,middle,False
W3015092365,A5050655757,Francis Verpoort,Wuhan University of Technology,middle,False
W3015092365,A5004151688,Hong-Liang Lü,Fudan University; Shanghai Fudan Microelectronics (China),middle,False
W3015092365,A5084838483,Serge Zhuiykov,Ghent University; Ghent University Global Campus,last,False
W4387803733,A5058417572,G. Venkat,University of Sheffield,first,True
W4387803733,A5011982600,D. A. Allwood,University of Sheffield,middle,False
W4387803733,A5031607034,Thomas J. Hayward,University of Sheffield,last,False
W4317809334,A5011982600,D. A. Allwood,University of Sheffield,first,False
W4317809334,A5049171548,Matthew O. A. Ellis,University of Sheffield,middle,False
W4317809334,A5086774062,David Griffin,University of York,middle,False
W4317809334,A5031607034,Thomas J. Hayward,University of Sheffield,middle,True
W4317809334,A5067855547,Luca Manneschi,University of Sheffield,middle,False
W4317809334,A5012687165,Mohammad F. KH. Musameh,University of York,middle,False
W4317809334,A5080547590,Simon O’Keefe,University of York,middle,False
W4317809334,A5031800049,Susan Stepney,University of York,middle,False
W4317809334,A5052540148,Charles Swindells,University of Sheffield,middle,False
W4317809334,A5056241158,Martin A. Trefzer,University of York,middle,False
W4317809334,A5030069824,Eleni Vasilaki,University of Sheffield,middle,True
W4317809334,A5058417572,G. Venkat,University of Sheffield,middle,False
W4317809334,A5056907176,Ian T. Vidamour,University of Sheffield,middle,False
W4317809334,A5067228619,Chester Wringe,University of York,last,False
W4380873598,A5044311181,Yi Wu,Beijing University of Technology,first,False
W4380873598,A5080050900,Wenjie Deng,Beijing University of Technology,middle,True
W4380873598,A5115596033,Xiaoting Wang,Beijing University of Technology,middle,False
W4380873598,A5101187210,Wenjing Yu,Beijing University of Technology,middle,False
W4380873598,A5100750879,Zhijie Chen,Beijing University of Technology,middle,False
W4380873598,,Xiaoqing Chen,Beijing University of Technology,middle,False
W4380873598,A5101759429,Jingzhen Li,Beijing University of Technology,middle,False
W4380873598,A5011166102,Yang Chai,Hong Kong Polytechnic University,middle,True
W4380873598,A5001460185,Yongzhe Zhang,Beijing University of Technology,last,True
W4401602444,A5100396688,Shuai Chen,Nanyang Technological University; Soochow University,first,False
W4401602444,A5101484291,Zhongliang Zhou,Nanyang Technological University,middle,False
W4401602444,A5030953830,Kunqi Hou,Nanyang Technological University,middle,False
W4401602444,A5010606147,Xihu Wu,Nanyang Technological University,middle,False
W4401602444,A5100734674,Qiang He,Nanyang Technological University,middle,False
W4401602444,A5065684754,Cindy G. Tang,Nanyang Technological University,middle,False
W4401602444,A5113322641,Ting Li,Nanyang Technological University,middle,False
W4401602444,A5100623749,Xiujuan Zhang,Soochow University,middle,False
W4401602444,A5001698250,Jiansheng Jie,Soochow University,middle,False
W4401602444,A5111291749,Zhiyi Gao,Chinese Academy of Sciences; Ningbo Institute of Industrial Technology,middle,False
W4401602444,A5006206692,Nripan Mathews,Nanyang Technological University,middle,True
W4401602444,A5064058603,Wei Lin Leong,Nanyang Technological University,last,False
W4366817110,A5087568641,Yi Xing,Donghua University,first,True
W4366817110,A5031068508,Mingjie Zhou,Fudan University; National Clinical Research; Jingzhou Central Hospital; Huashan Hospital,middle,False
W4366817110,A5087070558,Yueguang Si,Fudan University; Zhongshan Hospital; State Key Laboratory of Medical Neurobiology,middle,False
W4366817110,A5081510427,Chi‐Yuan Yang,Linköping University,middle,False
W4366817110,A5076872646,Liang‐Wen Feng,Sichuan University,middle,False
W4366817110,A5038194678,Qilin Wu,Donghua University,middle,False
W4366817110,A5100455803,Fei Wang,Fudan University; National Clinical Research; Jingzhou Central Hospital; Huashan Hospital,middle,False
W4366817110,A5100413296,Xiaomin Wang,Fudan University; National Clinical Research; Jingzhou Central Hospital; Huashan Hospital,middle,False
W4366817110,A5101993854,Wei Huang,University of Electronic Science and Technology of China,middle,False
W4366817110,A5017416584,Yuhua Cheng,University of Electronic Science and Technology of China,middle,False
W4366817110,A5101424648,Ruilin Zhang,Chinese Academy of Sciences; Changchun Institute of Applied Chemistry; State Key Laboratory of Polymer Physics and Chemistry,middle,False
W4366817110,A5088708697,Xiaozheng Duan,Chinese Academy of Sciences; Changchun Institute of Applied Chemistry; State Key Laboratory of Polymer Physics and Chemistry,middle,False
W4366817110,A5100361941,Jun Liu,,middle,False
W4366817110,A5100737515,Ping Song,,middle,False
W4366817110,A5070436020,Hengda Sun,Donghua University,middle,False
W4366817110,A5100396648,Hongzhi Wang,Donghua University,middle,False
W4366817110,A5100357301,Jiayi Zhang,Fudan University; Zhongshan Hospital; State Key Laboratory of Medical Neurobiology,middle,False
W4366817110,A5100753272,Su Jiang,Fudan University; National Clinical Research; Jingzhou Central Hospital; Huashan Hospital,middle,False
W4366817110,A5100643927,Meifang Zhu,Donghua University,middle,False
W4366817110,A5100367343,Gang Wang,Donghua University,last,False
W4410325695,A5031443554,Tianci Huang,Nanjing University of Posts and Telecommunications,first,False
W4410325695,A5104034955,Yuxuan Wang,,middle,True
W4410325695,A5100579201,Zhihan Jin,Nanjing University of Posts and Telecommunications,middle,False
W4410325695,A5100458862,Hao Liu,Nanjing University of Posts and Telecommunications,middle,False
